,authors,binding,date_published,dimensions,edition,image,isbn,isbn13,language,msrp,pages,publisher,subjects,synopsys,title,title_long
10,Algernon,Paperback,2009,,,https://images.isbndb.com/covers/09/61/9781150050961.jpg,1150050969,9781150050961,,0.00,,,,,The Bright Messenger,The-bright-messenger
11,"Blackwood, Algernon",Paperback,2004-06-17T00:00:01Z,"Height: 9.25195 Inches, Length: 7.51967 Inches, Weight: 0.92814612302 Pounds, Width: 0.5051171 Inches",,https://images.isbndb.com/covers/63/11/9781419156311.jpg,1419156314,9781419156311,en_US,26.95,240.0,"Kessinger Publishing, LLC",,"<p>he Is Not A Human Being At All, He Continued With A Queer Thin Whisper That Conveyed A Gravity Of Conviction Singularly Impressive, In The Sense In Which You And I Are Accustomed To Use The Term. His Inner Being Is Not Shaped, As His Outer Body, Upon Quite--human Lines. He Is A Cosmic Being--a Direct Expression Of Cosmic Life. A Little Bit, A Fragment, Of The Soul Of The World, And In That Sense A Survival--a Survival Of Her Youth.</p>",The Centaur,The Centaur
12,"Blackwood, Algernon",Hardcover,2008-10-21T00:00:01Z,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 1.39111687322 Pounds, Width: 0.8751951 Inches",null,https://images.isbndb.com/covers/73/10/9781409237310.jpg,1409237311,9781409237310,en_US,39.95,324.0,"Lulu Enterprises, UK Ltd",,,The Damned,The Damned
13,Algernon Blackwood,,,,,https://images.isbndb.com/covers/56/91/9781428025691.jpg,1428025693,9781428025691,,0.00,,,,,Empty House And Other Ghost Stories,Empty_house_and_other_ghost_stories
14,"Blackwood, Algernon",Paperback,2009-11-06T00:00:01Z,"Height: 8 Inches, Length: 5 Inches, Weight: 0.39903669422 Pounds, Width: 0.38 Inches",,https://images.isbndb.com/covers/85/21/9781116968521.jpg,1116968525,9781116968521,en_US,21.75,176.0,BiblioLife,,,The Garden of Survival,The Garden of Survival
15,"Blackwood, Algernon",Hardcover,2010-05-23T00:00:01Z,"Height: 9.99998 Inches, Length: 7.00786 Inches, Weight: 1.06 Pounds, Width: 0.3751961 Inches",,https://images.isbndb.com/covers/65/53/9781161466553.jpg,116146655X,9781161466553,en_US,35.95,150.0,"Kessinger Publishing, LLC",Fiction,,The Human Chord the Human Chord,The Human Chord the Human Chord
16,"Poe, Edgar Allan",Paperback,2019-08-27T00:00:01Z,"Height: 8 Inches, Length: 5 Inches, Weight: 0.09 Pounds, Width: 0.07 Inches",,https://images.isbndb.com/covers/39/69/9781688823969.jpg,1688823964,9781688823969,en_US,0.00,26.0,Independently published,,,The Cask of Amontillado,The Cask of Amontillado
17,"Poe, Edgar Allan",Paperback,2015-07-03T00:00:01Z,"Height: 11 Inches, Length: 8.5 Inches, Weight: 0.23 Pounds, Width: 0.06 Inches",,https://images.isbndb.com/covers/12/30/9781512121230.jpg,1512121231,9781512121230,en_US,10.99,24.0,CreateSpace Independent Publishing Platform,,,Tell Tale Heart,Tell Tale Heart
18,"Emami, Hamed",Paperback,2015-07-03T00:00:01Z,"Height: 11 Inches, Length: 8.5 Inches, Weight: 0.23 Pounds, Width: 0.06 Inches",,https://images.isbndb.com/covers/12/30/9781512121230.jpg,1512121231,9781512121230,en_US,10.99,24.0,CreateSpace Independent Publishing Platform,,,Tell Tale Heart,Tell Tale Heart
19,,Paperback,2015-07-03T00:00:01Z,"Height: 11 Inches, Length: 8.5 Inches, Weight: 0.23 Pounds, Width: 0.06 Inches",,https://images.isbndb.com/covers/12/30/9781512121230.jpg,1512121231,9781512121230,en_US,10.99,24.0,CreateSpace Independent Publishing Platform,,,Tell Tale Heart,Tell Tale Heart
20,,Paperback,2015-07-03T00:00:01Z,"Height: 11 Inches, Length: 8.5 Inches, Weight: 0.23 Pounds, Width: 0.06 Inches",,https://images.isbndb.com/covers/12/30/9781512121230.jpg,1512121231,9781512121230,en_US,10.99,24.0,CreateSpace Independent Publishing Platform,,,Tell Tale Heart,Tell Tale Heart
21,"Poe, Edgar Allan",Paperback,1982-06-01T00:00:01Z,"Height: 9 Inches, Length: 6 Inches, Weight: 0.1 Pounds, Width: 0.25 Inches",,https://images.isbndb.com/covers/27/12/9780890612712.jpg,0890612714,9780890612712,en_US,5.99,,Jamestown Pubns,,,Masque of the Red Death,Masque of the Red Death
22,"Poe, Edgar Allan",Paperback,2015-08-24T00:00:01Z,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.12566348934 Pounds, Width: 0.09 Inches",,https://images.isbndb.com/covers/59/42/9781447465942.jpg,1447465946,9781447465942,en_US,0,36.0,Bibliographii Press,,,Some Words with a Mummy,Some Words with a Mummy
23,"Poe, Edgar Allen",Paperback,2012-09-24T00:00:01Z,"Height: 7.81 Inches, Length: 5.06 Inches, Weight: 0.08 Pounds, Width: 0.06 Inches",,https://images.isbndb.com/covers/73/36/9781479377336.jpg,1479377333,9781479377336,en_US,0,26.0,CreateSpace Independent Publishing Platform,,,The Raven: The Raven with Bonus,The Raven: The Raven with Bonus
24,"Stoker, Bram , 1847-1912",print,,429 p. ; 21 cm.,,https://images.isbndb.com/covers/17/73/9733401773.jpg,9733401773,,rum Romanian; Moldavian; Moldovan,0.00,,Univers,,Bram Stoker ; Traducere Și Note De Barbu Cioculescu Și Ileana Verzea ; Prefață De Barbu Cioculescu. Translated From English.,Dracula,Dracula Dracula. Romanian
25,"Stoker, Bram",Paperback,2010-09-10T00:00:01Z,"Height: 9.25195 Inches, Length: 7.51967 Inches, Weight: 0.51 Pounds, Width: 0.2681097 Inches",,https://images.isbndb.com/covers/04/17/9781162660417.jpg,1162660414,9781162660417,en_US,16.76,126.0,"Kessinger Publishing, LLC",,<p>when We Started For Our Drive The Sun Was Shining Brightly On Munich And The Air Was Full Of The Joyousness Of Early Summer. Just As We Were About To Depart Herr Delbr&#252;ck (the Ma&#238;tre D'h&#244;tel Of The Quatre Saisons Where I Was Staying) Came Down Bareheaded To The Carriage And After Wishing Me A Pleasant Drive Said To The Coachman Still Holding His Hand On The Handle Of The Carriage Door&#58;</p>,Dracula's Guest,Dracula's Guest
26,Stoker,,,,,https://images.isbndb.com/covers/63/49/9781111716349.jpg,111171634x,9781111716349,,0.00,,,,,Mystery Of The Sea,Mystery-of-the-sea
27,Bram,,,,,https://images.isbndb.com/covers/63/49/9781111716349.jpg,111171634x,9781111716349,,0.00,,,,,Mystery Of The Sea,Mystery-of-the-sea
28,"James, M.R",Paperback,2014-10-06T00:00:01Z,"Height: 7.81 Inches, Length: 5.06 Inches, Weight: 0.12 Pounds, Width: 0.1 Inches",,https://images.isbndb.com/covers/39/86/9781502733986.jpg,1502733986,9781502733986,en_US,0,44.0,CreateSpace Independent Publishing Platform,,,Casting the Runes,Casting the Runes
29,"Poe, Edgar Allan",Audio Cassette,1990-06-19T00:00:01Z,"Height: 7.25 Inches, Length: 4.75 Inches, Width: 1 Inches",Abridged edition,https://images.isbndb.com/covers/10/06/9781559941006.jpg,1559941006,9781559941006,en_US,0,,HarperAudio,,,Pit and the Pendulum,Pit and the Pendulum
30,,Audio Cassette,1990-06-19T00:00:01Z,"Height: 7.25 Inches, Length: 4.75 Inches, Width: 1 Inches",Abridged edition,https://images.isbndb.com/covers/10/06/9781559941006.jpg,1559941006,9781559941006,en_US,0,,HarperAudio,,,Pit and the Pendulum,Pit and the Pendulum
31,"Poe, Edgar Allen",Paperback,2014-07-11T00:00:01Z,"Height: 7.81 Inches, Length: 5.06 Inches, Weight: 0.08 Pounds, Width: 0.06 Inches",,https://images.isbndb.com/covers/61/11/9781500496111.jpg,1500496111,9781500496111,en_US,9.99,24.0,CreateSpace Independent Publishing Platform,,,Metzengerstein,Metzengerstein
32,"Stoker, Bram",Paperback,2013-12-29T00:00:01Z,"Height: 7.81 Inches, Length: 5.06 Inches, Weight: 0.1 Pounds, Width: 0.08 Inches",,https://images.isbndb.com/covers/61/60/9781494836160.jpg,1494836165,9781494836160,en_US,7.99,34.0,CreateSpace Independent Publishing Platform,,,The Coming of Abel Behenna,The Coming of Abel Behenna
33,"Stoker, Bram",Hardcover,2010-05-23T00:00:01Z,"Height: 9.99998 Inches, Length: 7.00786 Inches, Weight: 1.29 Pounds, Width: 0.499999 Inches",,https://images.isbndb.com/covers/73/76/9781161467376.jpg,1161467378,9781161467376,en_US,39.95,212.0,"Kessinger Publishing, LLC",,,The Jewel of Seven Stars the Jewel of Seven Stars,The Jewel of Seven Stars the Jewel of Seven Stars
